Test_ID,Category,Condition,Trial,Metric_Name,Value,Unit,Status
EXP1_BOOT,Boot_Time,115200_Baud,46,Host_Boot_Time,45.6025999992562,ms,PASS
EXP1_BOOT,Boot_Time,MCU_DWT,46,MCU_Init_Cycles,2567,cycles,PASS
EXP1_BOOT,Boot_Time,MCU_DWT,46,MCU_Init_Time,160.4375,us,PASS
EXP1_BOOT,Boot_Time,115200_Baud,47,Host_Boot_Time,46.77260000244132,ms,PASS
EXP1_BOOT,Boot_Time,MCU_DWT,47,MCU_Init_Cycles,2567,cycles,PASS
EXP1_BOOT,Boot_Time,MCU_DWT,47,MCU_Init_Time,160.4375,us,PASS
EXP1_BOOT,Boot_Time,115200_Baud,48,Host_Boot_Time,46.48140000062995,ms,PASS
EXP1_BOOT,Boot_Time,MCU_DWT,48,MCU_Init_Cycles,2567,cycles,PASS
EXP1_BOOT,Boot_Time,MCU_DWT,48,MCU_Init_Time,160.4375,us,PASS
EXP1_BOOT,Boot_Time,115200_Baud,49,Host_Boot_Time,46.73189999812166,ms,PASS
EXP1_BOOT,Boot_Time,MCU_DWT,49,MCU_Init_Cycles,2567,cycles,PASS
EXP1_BOOT,Boot_Time,MCU_DWT,49,MCU_Init_Time,160.4375,us,PASS
EXP1_BOOT,Boot_Time,115200_Baud,50,Host_Boot_Time,45.22939999878872,ms,PASS
EXP1_BOOT,Boot_Time,MCU_DWT,50,MCU_Init_Cycles,2567,cycles,PASS
EXP1_BOOT,Boot_Time,MCU_DWT,50,MCU_Init_Time,160.4375,us,PASS
EXP2_ERASE,Flash_Erase,Sector_3_16KB,1,Erase_Time,251.537875,ms,PASS
EXP2_ERASE,Flash_Erase,Sector_3_16KB,1,Erase_Time_Per_KB,15.7211171875,ms/KB,PASS
EXP2_ERASE,Flash_Erase,Sector_3_16KB,2,Erase_Time,252.073375,ms,PASS
EXP2_ERASE,Flash_Erase,Sector_3_16KB,2,Erase_Time_Per_KB,15.7545859375,ms/KB,PASS
EXP2_ERASE,Flash_Erase,Sector_3_16KB,3,Erase_Time,252.80956249999997,ms,PASS
EXP2_ERASE,Flash_Erase,Sector_3_16KB,3,Erase_Time_Per_KB,15.800597656249998,ms/KB,PASS
EXP2_ERASE,Flash_Erase,Sector_3_16KB,4,Erase_Time,251.79668750000002,ms,PASS
EXP2_ERASE,Flash_Erase,Sector_3_16KB,4,Erase_Time_Per_KB,15.737292968750001,ms/KB,PASS
EXP2_ERASE,Flash_Erase,Sector_3_16KB,5,Erase_Time,251.74637500000003,ms,PASS
EXP2_ERASE,Flash_Erase,Sector_3_16KB,5,Erase_Time_Per_KB,15.734148437500002,ms/KB,PASS
EXP2_ERASE,Flash_Erase,Sector_3_16KB,6,Erase_Time,251.61181249999998,ms,PASS
EXP2_ERASE,Flash_Erase,Sector_3_16KB,6,Erase_Time_Per_KB,15.725738281249999,ms/KB,PASS
EXP2_ERASE,Flash_Erase,Sector_3_16KB,7,Erase_Time,252.07756250000003,ms,PASS
EXP2_ERASE,Flash_Erase,Sector_3_16KB,7,Erase_Time_Per_KB,15.754847656250002,ms/KB,PASS
EXP2_ERASE,Flash_Erase,Sector_3_16KB,8,Erase_Time,249.9960625,ms,PASS
EXP2_ERASE,Flash_Erase,Sector_3_16KB,8,Erase_Time_Per_KB,15.62475390625,ms/KB,PASS
EXP2_ERASE,Flash_Erase,Sector_3_16KB,9,Erase_Time,256.909125,ms,PASS
EXP2_ERASE,Flash_Erase,Sector_3_16KB,9,Erase_Time_Per_KB,16.0568203125,ms/KB,PASS
